           t           E1           E2           E3           E4
0.000000e+00 2.267429e-02 5.141236e-04 1.158990e+03 1.168474e+02
1.000000e+00 2.222854e-02 4.941079e-04 1.130633e+03 1.121702e+02
2.000000e+00 2.155917e-02 4.647978e-04 1.103551e+03 1.091058e+02
3.000000e+00 2.070947e-02 4.288821e-04 1.077979e+03 1.013655e+02
4.000000e+00 1.974575e-02 3.898947e-04 1.054252e+03 9.839296e+01
5.000000e+00 1.874220e-02 3.512699e-04 1.032283e+03 9.138400e+01
6.000000e+00 1.775643e-02 3.152908e-04 1.011595e+03 8.463314e+01
7.000000e+00 1.681895e-02 2.828771e-04 9.917227e+02 7.676542e+01
8.000000e+00 1.593882e-02 2.540461e-04 9.722489e+02 6.825434e+01
9.000000e+00 1.511584e-02 2.284887e-04 9.528889e+02 6.199231e+01
1.000000e+01 1.435343e-02 2.060208e-04 9.335440e+02 5.696952e+01
1.100000e+01 1.366217e-02 1.866549e-04 9.144157e+02 5.168630e+01
1.200000e+01 1.304815e-02 1.702542e-04 8.956237e+02 4.682255e+01
1.300000e+01 1.250717e-02 1.564294e-04 8.771515e+02 4.256102e+01
1.400000e+01 1.202584e-02 1.446209e-04 8.588830e+02 3.886637e+01
1.500000e+01 1.159200e-02 1.343745e-04 8.407134e+02 3.565040e+01
1.600000e+01 1.119744e-02 1.253826e-04 8.226955e+02 3.282938e+01
1.700000e+01 1.083403e-02 1.173761e-04 8.046308e+02 3.033534e+01
1.800000e+01 1.049722e-02 1.101917e-04 7.867177e+02 2.827087e+01
1.900000e+01 1.018512e-02 1.037367e-04 7.690719e+02 2.716103e+01
2.000000e+01 9.894432e-03 9.789978e-05 7.517206e+02 2.617418e+01
2.100000e+01 9.623176e-03 9.260551e-05 7.347576e+02 2.501529e+01
2.200000e+01 9.370186e-03 8.780039e-05 7.182594e+02 2.374033e+01
2.300000e+01 9.135011e-03 8.344843e-05 7.022961e+02 2.243773e+01
2.400000e+01 8.915989e-03 7.949487e-05 6.869133e+02 2.115236e+01
2.500000e+01 8.708225e-03 7.583318e-05 6.720487e+02 2.099611e+01
2.600000e+01 8.505799e-03 7.234861e-05 6.576618e+02 2.208742e+01
2.700000e+01 8.307081e-03 6.900760e-05 6.437818e+02 2.328591e+01
2.800000e+01 8.115785e-03 6.586597e-05 6.304152e+02 2.445670e+01
2.900000e+01 7.939207e-03 6.303101e-05 6.175558e+02 2.487322e+01
3.000000e+01 7.779947e-03 6.052758e-05 6.051839e+02 2.500914e+01
3.100000e+01 7.638805e-03 5.835134e-05 5.932912e+02 2.469344e+01
3.200000e+01 7.514471e-03 5.646728e-05 5.818837e+02 2.439636e+01
3.300000e+01 7.403205e-03 5.480744e-05 5.708599e+02 2.385514e+01
