           t           E1           E2           E3           E4
0.000000e+00 2.516243e-02 6.331479e-04 1.672866e+03 1.289012e+02
1.000000e+00 2.475767e-02 6.129421e-04 1.648385e+03 1.238112e+02
2.000000e+00 2.411863e-02 5.817084e-04 1.624069e+03 1.140794e+02
3.000000e+00 2.329188e-02 5.425119e-04 1.598471e+03 9.940146e+01
4.000000e+00 2.234528e-02 4.993116e-04 1.571449e+03 8.849972e+01
5.000000e+00 2.134882e-02 4.557722e-04 1.543464e+03 7.742499e+01
6.000000e+00 2.035787e-02 4.144430e-04 1.514690e+03 6.859035e+01
7.000000e+00 1.943021e-02 3.775329e-04 1.485470e+03 6.662855e+01
8.000000e+00 1.857803e-02 3.451430e-04 1.455955e+03 6.461238e+01
9.000000e+00 1.780448e-02 3.169995e-04 1.426281e+03 6.247841e+01
1.000000e+01 1.710834e-02 2.926951e-04 1.396690e+03 6.075243e+01
1.100000e+01 1.647120e-02 2.713005e-04 1.367576e+03 6.109118e+01
1.200000e+01 1.587523e-02 2.520231e-04 1.339537e+03 5.917734e+01
1.300000e+01 1.531290e-02 2.344849e-04 1.313116e+03 5.833961e+01
1.400000e+01 1.478558e-02 2.186134e-04 1.288652e+03 5.784260e+01
1.500000e+01 1.429059e-02 2.042209e-04 1.266075e+03 5.564045e+01
1.600000e+01 1.381955e-02 1.909801e-04 1.245390e+03 5.253937e+01
1.700000e+01 1.337317e-02 1.788417e-04 1.226936e+03 4.922604e+01
1.800000e+01 1.295034e-02 1.677113e-04 1.210834e+03 4.606585e+01
1.900000e+01 1.255018e-02 1.575071e-04 1.197099e+03 4.322223e+01
2.000000e+01 1.217756e-02 1.482929e-04 1.185641e+03 4.060400e+01
2.100000e+01 1.183904e-02 1.401628e-04 1.176434e+03 3.821987e+01
2.200000e+01 1.154391e-02 1.332618e-04 1.169484e+03 3.655893e+01
2.300000e+01 1.128848e-02 1.274299e-04 1.164570e+03 3.665410e+01
2.400000e+01 1.105387e-02 1.221879e-04 1.161254e+03 3.609142e+01
2.500000e+01 1.082618e-02 1.172062e-04 1.159147e+03 3.501859e+01
2.600000e+01 1.060679e-02 1.125039e-04 1.157842e+03 3.377891e+01
2.700000e+01 1.039826e-02 1.081239e-04 1.157162e+03 3.254890e+01
2.800000e+01 1.020258e-02 1.040927e-04 1.156857e+03 3.138559e+01
2.900000e+01 1.002303e-02 1.004612e-04 1.156577e+03 3.029783e+01
3.000000e+01 9.857330e-03 9.716696e-05 1.156350e+03 2.993845e+01
3.100000e+01 9.701173e-03 9.411277e-05 1.156059e+03 3.047810e+01
3.200000e+01 9.545924e-03 9.112467e-05 1.155570e+03 3.040234e+01
3.300000e+01 9.386500e-03 8.810638e-05 1.154961e+03 2.974952e+01
3.400000e+01 9.223022e-03 8.506414e-05 1.154351e+03 2.897282e+01
3.500000e+01 9.057454e-03 8.203747e-05 1.153782e+03 2.805049e+01
3.600000e+01 8.892531e-03 7.907711e-05 1.153279e+03 2.706112e+01
3.700000e+01 8.731448e-03 7.623818e-05 1.152974e+03 2.608586e+01
3.800000e+01 8.575452e-03 7.353838e-05 1.152988e+03 2.515195e+01
3.900000e+01 8.427839e-03 7.102847e-05 1.153236e+03 2.426375e+01
4.000000e+01 8.291967e-03 6.875672e-05 1.153642e+03 2.341940e+01
4.100000e+01 8.167436e-03 6.670700e-05 1.154191e+03 2.261596e+01
4.200000e+01 8.051446e-03 6.482578e-05 1.154803e+03 2.185055e+01
4.300000e+01 7.940496e-03 6.305147e-05 1.155407e+03 2.112053e+01
4.400000e+01 7.831757e-03 6.133642e-05 1.155993e+03 2.042351e+01
4.500000e+01 7.724539e-03 5.966851e-05 1.156451e+03 1.975732e+01
4.600000e+01 7.618935e-03 5.804817e-05 1.156658e+03 1.911997e+01
4.700000e+01 7.515488e-03 5.648256e-05 1.156589e+03 1.881919e+01
4.800000e+01 7.414399e-03 5.497331e-05 1.156273e+03 1.844396e+01
4.900000e+01 7.314723e-03 5.350518e-05 1.155707e+03 1.801940e+01
5.000000e+01 7.215819e-03 5.206804e-05 1.154881e+03 1.759452e+01
5.100000e+01 7.117798e-03 5.066304e-05 1.153830e+03 1.718326e+01
5.200000e+01 7.021537e-03 4.930198e-05 1.152608e+03 1.678828e+01
5.300000e+01 6.928163e-03 4.799944e-05 1.151370e+03 1.644765e+01
5.400000e+01 6.838417e-03 4.676395e-05 1.150275e+03 1.614103e+01
5.500000e+01 6.753071e-03 4.560396e-05 1.148991e+03 1.584527e+01
5.600000e+01 6.673037e-03 4.452943e-05 1.147479e+03 1.555929e+01
5.700000e+01 6.599110e-03 4.354825e-05 1.145880e+03 1.528285e+01
5.800000e+01 6.530480e-03 4.264717e-05 1.144207e+03 1.501529e+01
5.900000e+01 6.464849e-03 4.179427e-05 1.142390e+03 1.475611e+01
6.000000e+01 6.400307e-03 4.096393e-05 1.140374e+03 1.450479e+01
6.100000e+01 6.336321e-03 4.014897e-05 1.138077e+03 1.426097e+01
6.200000e+01 6.273323e-03 3.935459e-05 1.135412e+03 1.402449e+01
6.300000e+01 6.210954e-03 3.857595e-05 1.132382e+03 1.379527e+01
6.400000e+01 6.148154e-03 3.779980e-05 1.129058e+03 1.357311e+01
6.500000e+01 6.084501e-03 3.702115e-05 1.125488e+03 1.335774e+01
6.600000e+01 6.020274e-03 3.624369e-05 1.121701e+03 1.314888e+01
6.700000e+01 5.957119e-03 3.548726e-05 1.117766e+03 1.294624e+01
6.800000e+01 5.896993e-03 3.477453e-05 1.113794e+03 1.274955e+01
6.900000e+01 5.840886e-03 3.411595e-05 1.109846e+03 1.255855e+01
7.000000e+01 5.789143e-03 3.351418e-05 1.105951e+03 1.237300e+01
7.100000e+01 5.741302e-03 3.296255e-05 1.102127e+03 1.219267e+01
7.200000e+01 5.696753e-03 3.245300e-05 1.098365e+03 1.201734e+01
7.300000e+01 5.654107e-03 3.196893e-05 1.094566e+03 1.184682e+01
7.400000e+01 5.612258e-03 3.149744e-05 1.090634e+03 1.168096e+01
7.500000e+01 5.571393e-03 3.104041e-05 1.086529e+03 1.151965e+01
7.600000e+01 5.532085e-03 3.060396e-05 1.082231e+03 1.136268e+01
7.700000e+01 5.494484e-03 3.018936e-05 1.077804e+03 1.120979e+01
7.800000e+01 5.458860e-03 2.979916e-05 1.073335e+03 1.106076e+01
7.900000e+01 5.424640e-03 2.942672e-05 1.068861e+03 1.091543e+01
8.000000e+01 5.390697e-03 2.905961e-05 1.064356e+03 1.084268e+01
8.100000e+01 5.356007e-03 2.868681e-05 1.059856e+03 1.141830e+01
8.200000e+01 5.319292e-03 2.829486e-05 1.055418e+03 1.190605e+01
8.300000e+01 5.279701e-03 2.787525e-05 1.051132e+03 1.232284e+01
8.400000e+01 5.237327e-03 2.742959e-05 1.047140e+03 1.249009e+01
8.500000e+01 5.192620e-03 2.696330e-05 1.043511e+03 1.253319e+01
8.600000e+01 5.147767e-03 2.649950e-05 1.040274e+03 1.249095e+01
8.700000e+01 5.105907e-03 2.607028e-05 1.037400e+03 1.251564e+01
8.800000e+01 5.067012e-03 2.567461e-05 1.034867e+03 1.304790e+01
8.900000e+01 5.029874e-03 2.529964e-05 1.032706e+03 1.404117e+01
9.000000e+01 4.993841e-03 2.493844e-05 1.030803e+03 1.492656e+01
9.100000e+01 4.958230e-03 2.458404e-05 1.029042e+03 1.541340e+01
9.200000e+01 4.923724e-03 2.424306e-05 1.027261e+03 1.555136e+01
9.300000e+01 4.891227e-03 2.392410e-05 1.025489e+03 1.546449e+01
9.400000e+01 4.860666e-03 2.362607e-05 1.023807e+03 1.531392e+01
9.500000e+01 4.831213e-03 2.334062e-05 1.022102e+03 1.509721e+01
9.600000e+01 4.801722e-03 2.305653e-05 1.020273e+03 1.485073e+01
9.700000e+01 4.771499e-03 2.276721e-05 1.018333e+03 1.459950e+01
9.800000e+01 4.740861e-03 2.247576e-05 1.016340e+03 1.435115e+01
9.900000e+01 4.710480e-03 2.218862e-05 1.014231e+03 1.410743e+01
1.000000e+02 4.680919e-03 2.191100e-05 1.012071e+03 1.386852e+01
1.010000e+02 4.652277e-03 2.164368e-05 1.009898e+03 1.363434e+01
1.020000e+02 4.624230e-03 2.138350e-05 1.007660e+03 1.340474e+01
1.030000e+02 4.595645e-03 2.111995e-05 1.005410e+03 1.317960e+01
1.040000e+02 4.566068e-03 2.084897e-05 1.003155e+03 1.295878e+01
1.050000e+02 4.535459e-03 2.057039e-05 1.000905e+03 1.274216e+01
1.060000e+02 4.503688e-03 2.028321e-05 9.986620e+02 1.252963e+01
1.070000e+02 4.470810e-03 1.998814e-05 9.965447e+02 1.232106e+01
1.080000e+02 4.437563e-03 1.969196e-05 9.945357e+02 1.211636e+01
1.090000e+02 4.404588e-03 1.940039e-05 9.926304e+02 1.191540e+01
1.100000e+02 4.371980e-03 1.911421e-05 9.907710e+02 1.171810e+01
1.110000e+02 4.339439e-03 1.883073e-05 9.889379e+02 1.152435e+01
1.120000e+02 4.306480e-03 1.854577e-05 9.871299e+02 1.133405e+01
1.130000e+02 4.273019e-03 1.825869e-05 9.853476e+02 1.114712e+01
1.140000e+02 4.239462e-03 1.797304e-05 9.836555e+02 1.096347e+01
1.150000e+02 4.206235e-03 1.769241e-05 9.820887e+02 1.078301e+01
1.160000e+02 4.173439e-03 1.741759e-05 9.805853e+02 1.060565e+01
1.170000e+02 4.140780e-03 1.714606e-05 9.791301e+02 1.043133e+01
1.180000e+02 4.108050e-03 1.687608e-05 9.776676e+02 1.025996e+01
1.190000e+02 4.075133e-03 1.660671e-05 9.761575e+02 1.009146e+01
1.200000e+02 4.041789e-03 1.633606e-05 9.746183e+02 9.925773e+00
1.210000e+02 4.008053e-03 1.606449e-05 9.730569e+02 9.762820e+00
1.220000e+02 3.974930e-03 1.580007e-05 9.714448e+02 9.602536e+00
1.230000e+02 3.944021e-03 1.555530e-05 9.697617e+02 9.444856e+00
1.240000e+02 3.916441e-03 1.533851e-05 9.680387e+02 9.289718e+00
1.250000e+02 3.892555e-03 1.515199e-05 9.663284e+02 9.137059e+00
1.260000e+02 3.871700e-03 1.499006e-05 9.645902e+02 8.986822e+00
1.270000e+02 3.852983e-03 1.484548e-05 9.627766e+02 8.838949e+00
1.280000e+02 3.835618e-03 1.471197e-05 9.609322e+02 8.693384e+00
1.290000e+02 3.818695e-03 1.458243e-05 9.589970e+02 8.550076e+00
1.300000e+02 3.801537e-03 1.445168e-05 9.569213e+02 8.408971e+00
1.310000e+02 3.783766e-03 1.431689e-05 9.546224e+02 8.270016e+00
1.320000e+02 3.765814e-03 1.418135e-05 9.519699e+02 8.133166e+00
1.330000e+02 3.747991e-03 1.404744e-05 9.489644e+02 8.058156e+00
1.340000e+02 3.730568e-03 1.391714e-05 9.455979e+02 7.996825e+00
1.350000e+02 3.713194e-03 1.378781e-05 9.418849e+02 7.936401e+00
1.360000e+02 3.695163e-03 1.365423e-05 9.378685e+02 7.876866e+00
1.370000e+02 3.675677e-03 1.351060e-05 9.335747e+02 7.818199e+00
1.380000e+02 3.654395e-03 1.335460e-05 9.290268e+02 7.760382e+00
1.390000e+02 3.631647e-03 1.318886e-05 9.242243e+02 7.703396e+00
1.400000e+02 3.608358e-03 1.302024e-05 9.192125e+02 7.647224e+00
1.410000e+02 3.585851e-03 1.285833e-05 9.140134e+02 7.591849e+00
1.420000e+02 3.565243e-03 1.271095e-05 9.086557e+02 7.537257e+00
1.430000e+02 3.546932e-03 1.258072e-05 9.031669e+02 7.483443e+00
1.440000e+02 3.531351e-03 1.247044e-05 8.975312e+02 7.430418e+00
1.450000e+02 3.518769e-03 1.238174e-05 8.918109e+02 7.378116e+00
1.460000e+02 3.509201e-03 1.231449e-05 8.860771e+02 7.326496e+00
1.470000e+02 3.502229e-03 1.226561e-05 8.803515e+02 7.275563e+00
1.480000e+02 3.497156e-03 1.223010e-05 8.746240e+02 7.225313e+00
1.490000e+02 3.492929e-03 1.220056e-05 8.688800e+02 7.175737e+00
1.500000e+02 3.488830e-03 1.217194e-05 8.631194e+02 7.126821e+00
1.510000e+02 3.483890e-03 1.213749e-05 8.573034e+02 7.078552e+00
1.520000e+02 3.477625e-03 1.209388e-05 8.514079e+02 7.030919e+00
1.530000e+02 3.469650e-03 1.203847e-05 8.453777e+02 6.983907e+00
1.540000e+02 3.459508e-03 1.196820e-05 8.391805e+02 6.937506e+00
1.550000e+02 3.446870e-03 1.188091e-05 8.328398e+02 6.891703e+00
1.560000e+02 3.431654e-03 1.177625e-05 8.263769e+02 6.846486e+00
1.570000e+02 3.414295e-03 1.165741e-05 8.198114e+02 6.801846e+00
1.580000e+02 3.395603e-03 1.153012e-05 8.132236e+02 6.757770e+00
1.590000e+02 3.376965e-03 1.140389e-05 8.066530e+02 6.714248e+00
1.600000e+02 3.359754e-03 1.128795e-05 8.001369e+02 6.671270e+00
1.610000e+02 3.344679e-03 1.118688e-05 7.937181e+02 6.628825e+00
1.620000e+02 3.332109e-03 1.110295e-05 7.873922e+02 6.586904e+00
1.630000e+02 3.321913e-03 1.103511e-05 7.811500e+02 6.545498e+00
1.640000e+02 3.313495e-03 1.097925e-05 7.749848e+02 6.504595e+00
1.650000e+02 3.306313e-03 1.093170e-05 7.688682e+02 6.464189e+00
1.660000e+02 3.299830e-03 1.088888e-05 7.627897e+02 6.424268e+00
1.670000e+02 3.293553e-03 1.084749e-05 7.567532e+02 6.384826e+00
1.680000e+02 3.287378e-03 1.080685e-05 7.507353e+02 6.601801e+00
1.690000e+02 3.281301e-03 1.076693e-05 7.447366e+02 6.730700e+00
1.700000e+02 3.275429e-03 1.072844e-05 7.387487e+02 6.730431e+00
1.710000e+02 3.269543e-03 1.068991e-05 7.327411e+02 6.666861e+00
1.720000e+02 3.263235e-03 1.064870e-05 7.267246e+02 6.579836e+00
1.730000e+02 3.256251e-03 1.060317e-05 7.207138e+02 6.488473e+00
1.740000e+02 3.248569e-03 1.055320e-05 7.147022e+02 6.420898e+00
1.750000e+02 3.240229e-03 1.049908e-05 7.086946e+02 6.356209e+00
1.760000e+02 3.231084e-03 1.043990e-05 7.026870e+02 6.289833e+00
1.770000e+02 3.221261e-03 1.037652e-05 6.966654e+02 6.223124e+00
1.780000e+02 3.211069e-03 1.031096e-05 6.905945e+02 6.156676e+00
1.790000e+02 3.201054e-03 1.024675e-05 6.844454e+02 6.090805e+00
1.800000e+02 3.191915e-03 1.018832e-05 6.781239e+02 6.025701e+00
1.810000e+02 3.183917e-03 1.013733e-05 6.715394e+02 5.961532e+00
1.820000e+02 3.176852e-03 1.009239e-05 6.647368e+02 5.898308e+00
1.830000e+02 3.170486e-03 1.005198e-05 6.581363e+02 5.835604e+00
1.840000e+02 3.164753e-03 1.001566e-05 6.518824e+02 5.781162e+00
1.850000e+02 3.159408e-03 9.981856e-06 6.458123e+02 5.749085e+00
1.860000e+02 3.153977e-03 9.947570e-06 6.398088e+02 5.717312e+00
1.870000e+02 3.148155e-03 9.910881e-06 6.338122e+02 6.074142e+00
1.880000e+02 3.141597e-03 9.869634e-06 6.278211e+02 6.379325e+00
1.890000e+02 3.134038e-03 9.822194e-06 6.218292e+02 6.550150e+00
1.900000e+02 3.125614e-03 9.769464e-06 6.158469e+02 6.610456e+00
1.910000e+02 3.116779e-03 9.714313e-06 6.098511e+02 6.615927e+00
1.920000e+02 3.107939e-03 9.659284e-06 6.038024e+02 6.599504e+00
1.930000e+02 3.099465e-03 9.606680e-06 5.976939e+02 6.571513e+00
1.940000e+02 3.091452e-03 9.557074e-06 5.915386e+02 6.539547e+00
1.950000e+02 3.083484e-03 9.507872e-06 5.853376e+02 6.507412e+00
1.960000e+02 3.075036e-03 9.455849e-06 5.790840e+02 6.476796e+00
1.970000e+02 3.066091e-03 9.400915e-06 5.728124e+02 6.450700e+00
1.980000e+02 3.056659e-03 9.343164e-06 5.665468e+02 6.438078e+00
1.990000e+02 3.046495e-03 9.281134e-06 5.602649e+02 6.865215e+00
