           t           E1           E2           E3           E4
0.000000e+00 2.204479e-02 4.859728e-04 5.700447e+02 7.262508e+01
1.000000e+00 2.147562e-02 4.612024e-04 5.593139e+02 7.000846e+01
2.000000e+00 2.072903e-02 4.296926e-04 5.486530e+02 6.495182e+01
3.000000e+00 1.983799e-02 3.935459e-04 5.377881e+02 5.804081e+01
4.000000e+00 1.884990e-02 3.553186e-04 5.267072e+02 5.066505e+01
5.000000e+00 1.782092e-02 3.175851e-04 5.161901e+02 4.357472e+01
6.000000e+00 1.678817e-02 2.818425e-04 5.069126e+02 4.110635e+01
7.000000e+00 1.578944e-02 2.493064e-04 4.990346e+02 3.956124e+01
8.000000e+00 1.487125e-02 2.211539e-04 4.925955e+02 3.823847e+01
9.000000e+00 1.406015e-02 1.976878e-04 4.873538e+02 3.609206e+01
1.000000e+01 1.336057e-02 1.785048e-04 4.827262e+02 3.474240e+01
1.100000e+01 1.275874e-02 1.627855e-04 4.781281e+02 3.312962e+01
1.200000e+01 1.223373e-02 1.496642e-04 4.732881e+02 3.216969e+01
1.300000e+01 1.176715e-02 1.384658e-04 4.680280e+02 3.069717e+01
1.400000e+01 1.134170e-02 1.286341e-04 4.621219e+02 2.890151e+01
1.500000e+01 1.094899e-02 1.198804e-04 4.555603e+02 2.697986e+01
1.600000e+01 1.058191e-02 1.119769e-04 4.484635e+02 2.511125e+01
1.700000e+01 1.023321e-02 1.047185e-04 4.408455e+02 2.340820e+01
1.800000e+01 9.899895e-03 9.800791e-05 4.326549e+02 2.221995e+01
1.900000e+01 9.579574e-03 9.176823e-05 4.239239e+02 2.124939e+01
2.000000e+01 9.273765e-03 8.600271e-05 4.147895e+02 2.038837e+01
2.100000e+01 8.987469e-03 8.077460e-05 4.053614e+02 1.953473e+01
2.200000e+01 8.723086e-03 7.609223e-05 3.956516e+02 1.881865e+01
2.300000e+01 8.476153e-03 7.184516e-05 3.856236e+02 1.840807e+01
2.400000e+01 8.242517e-03 6.793909e-05 3.752909e+02 1.795331e+01
2.500000e+01 8.022138e-03 6.435470e-05 3.646870e+02 1.726690e+01
2.600000e+01 7.816124e-03 6.109180e-05 3.538691e+02 1.655572e+01
2.700000e+01 7.621655e-03 5.808963e-05 3.428998e+02 1.589374e+01
2.800000e+01 7.435849e-03 5.529185e-05 3.318932e+02 1.520598e+01
2.900000e+01 7.260470e-03 5.271443e-05 3.210295e+02 1.454334e+01
3.000000e+01 7.096583e-03 5.036149e-05 3.103056e+02 1.391916e+01
3.100000e+01 6.941445e-03 4.818366e-05 2.997512e+02 1.333367e+01
3.200000e+01 6.793320e-03 4.614920e-05 2.894456e+02 1.278417e+01
3.300000e+01 6.651472e-03 4.424209e-05 2.794327e+02 1.226765e+01
3.400000e+01 6.514240e-03 4.243532e-05 2.697521e+02 1.178127e+01
3.500000e+01 6.380285e-03 4.070804e-05 2.604729e+02 1.132248e+01
3.600000e+01 6.251417e-03 3.908021e-05 2.516226e+02 1.088900e+01
3.700000e+01 6.131657e-03 3.759722e-05 2.431662e+02 1.047880e+01
3.800000e+01 6.024027e-03 3.628890e-05 2.350469e+02 1.009006e+01
3.900000e+01 5.926117e-03 3.511886e-05 2.272393e+02 9.721160e+00
4.000000e+01 5.832303e-03 3.401576e-05 2.197292e+02 9.370726e+00
4.100000e+01 5.736809e-03 3.291097e-05 2.125209e+02 9.188456e+00
4.200000e+01 5.635792e-03 3.176216e-05 2.056505e+02 9.472809e+00
4.300000e+01 5.530235e-03 3.058350e-05 1.991414e+02 9.653513e+00
4.400000e+01 5.425050e-03 2.943117e-05 1.930362e+02 9.657714e+00
4.500000e+01 5.324686e-03 2.835228e-05 1.873334e+02 9.492385e+00
4.600000e+01 5.230873e-03 2.736204e-05 1.820598e+02 9.255766e+00
4.700000e+01 5.143013e-03 2.645058e-05 1.772708e+02 9.001808e+00
4.800000e+01 5.058971e-03 2.559319e-05 1.729793e+02 8.750980e+00
4.900000e+01 4.977483e-03 2.477534e-05 1.691598e+02 8.508747e+00
5.000000e+01 4.899079e-03 2.400097e-05 1.657452e+02 8.275875e+00
