           t           E1           E2           E3           E4
0.000000e+00 2.195940e-02 4.822150e-04 1.624890e+03 6.793827e+01
1.000000e+00 2.141609e-02 4.586491e-04 1.606181e+03 6.551256e+01
2.000000e+00 2.072319e-02 4.294505e-04 1.586808e+03 6.242889e+01
3.000000e+00 1.992894e-02 3.971626e-04 1.567765e+03 5.739243e+01
4.000000e+00 1.903598e-02 3.623685e-04 1.548780e+03 5.127769e+01
5.000000e+00 1.809236e-02 3.273334e-04 1.530288e+03 4.525064e+01
6.000000e+00 1.715448e-02 2.942760e-04 1.512755e+03 4.039603e+01
7.000000e+00 1.626046e-02 2.644024e-04 1.496256e+03 3.762659e+01
8.000000e+00 1.543008e-02 2.380874e-04 1.480569e+03 3.478951e+01
9.000000e+00 1.467478e-02 2.153492e-04 1.465538e+03 3.179371e+01
1.000000e+01 1.400405e-02 1.961133e-04 1.451126e+03 2.934210e+01
1.100000e+01 1.342349e-02 1.801902e-04 1.437344e+03 2.685555e+01
1.200000e+01 1.293785e-02 1.673880e-04 1.424205e+03 2.596940e+01
1.300000e+01 1.255170e-02 1.575453e-04 1.411829e+03 2.722251e+01
1.400000e+01 1.224983e-02 1.500584e-04 1.400068e+03 2.776162e+01
1.500000e+01 1.200364e-02 1.440873e-04 1.388528e+03 2.752364e+01
1.600000e+01 1.178093e-02 1.387904e-04 1.376583e+03 2.696980e+01
1.700000e+01 1.156322e-02 1.337081e-04 1.363670e+03 2.587258e+01
1.800000e+01 1.134110e-02 1.286206e-04 1.349626e+03 2.449819e+01
1.900000e+01 1.110699e-02 1.233652e-04 1.334530e+03 2.308064e+01
2.000000e+01 1.085883e-02 1.179141e-04 1.318501e+03 2.172821e+01
2.100000e+01 1.059806e-02 1.123189e-04 1.301674e+03 2.047467e+01
2.200000e+01 1.032724e-02 1.066519e-04 1.284173e+03 1.932272e+01
2.300000e+01 1.004843e-02 1.009709e-04 1.266343e+03 1.826545e+01
2.400000e+01 9.762451e-03 9.530545e-05 1.248419e+03 1.729365e+01
2.500000e+01 9.470521e-03 8.969076e-05 1.230544e+03 1.639815e+01
2.600000e+01 9.177243e-03 8.422179e-05 1.212844e+03 1.557063e+01
2.700000e+01 8.890927e-03 7.904858e-05 1.195222e+03 1.480377e+01
2.800000e+01 8.618452e-03 7.427771e-05 1.177666e+03 1.439791e+01
2.900000e+01 8.368247e-03 7.002756e-05 1.159859e+03 1.384025e+01
3.000000e+01 8.145888e-03 6.635548e-05 1.141480e+03 1.322503e+01
3.100000e+01 7.951093e-03 6.321988e-05 1.122703e+03 1.261688e+01
3.200000e+01 7.778131e-03 6.049931e-05 1.103822e+03 1.203749e+01
3.300000e+01 7.620686e-03 5.807485e-05 1.084986e+03 1.223858e+01
3.400000e+01 7.474266e-03 5.586465e-05 1.066253e+03 1.326650e+01
3.500000e+01 7.337748e-03 5.384254e-05 1.047694e+03 1.360409e+01
3.600000e+01 7.213978e-03 5.204148e-05 1.029261e+03 1.397234e+01
3.700000e+01 7.105709e-03 5.049110e-05 1.011018e+03 1.445473e+01
3.800000e+01 7.012638e-03 4.917710e-05 9.929210e+02 1.466626e+01
3.900000e+01 6.934791e-03 4.809132e-05 9.750136e+02 1.458137e+01
4.000000e+01 6.871439e-03 4.721668e-05 9.572879e+02 1.426758e+01
4.100000e+01 6.819639e-03 4.650747e-05 9.395680e+02 1.382831e+01
4.200000e+01 6.772950e-03 4.587285e-05 9.217832e+02 1.334477e+01
4.300000e+01 6.725761e-03 4.523586e-05 9.039415e+02 1.287293e+01
4.400000e+01 6.674106e-03 4.454369e-05 8.860148e+02 1.242905e+01
4.500000e+01 6.615981e-03 4.377120e-05 8.680373e+02 1.223986e+01
4.600000e+01 6.551906e-03 4.292747e-05 8.500866e+02 1.243109e+01
