           t           E1           E2           E3           E4
0.000000e+00 2.237318e-02 5.005592e-04 5.706123e+03 3.109790e+02
1.000000e+00 2.203869e-02 4.857038e-04 5.690871e+03 2.803971e+02
2.000000e+00 2.146063e-02 4.605588e-04 5.675388e+03 2.774460e+02
3.000000e+00 2.070616e-02 4.287450e-04 5.659020e+03 2.487652e+02
4.000000e+00 1.987898e-02 3.951740e-04 5.641681e+03 2.131032e+02
5.000000e+00 1.902921e-02 3.621110e-04 5.625074e+03 1.821881e+02
6.000000e+00 1.818236e-02 3.305982e-04 5.609075e+03 1.623448e+02
7.000000e+00 1.736054e-02 3.013884e-04 5.592723e+03 1.490949e+02
8.000000e+00 1.658876e-02 2.751870e-04 5.574148e+03 1.352320e+02
9.000000e+00 1.587273e-02 2.519435e-04 5.553811e+03 1.237889e+02
1.000000e+01 1.520810e-02 2.312864e-04 5.533173e+03 1.130002e+02
1.100000e+01 1.459414e-02 2.129888e-04 5.511368e+03 1.078765e+02
1.200000e+01 1.402916e-02 1.968174e-04 5.487495e+03 1.013220e+02
1.300000e+01 1.351891e-02 1.827610e-04 5.461425e+03 9.396068e+01
1.400000e+01 1.305756e-02 1.704999e-04 5.433396e+03 9.074465e+01
1.500000e+01 1.263528e-02 1.596503e-04 5.403864e+03 9.819998e+01
1.600000e+01 1.224375e-02 1.499095e-04 5.373237e+03 1.034646e+02
1.700000e+01 1.187671e-02 1.410562e-04 5.341797e+03 1.048900e+02
1.800000e+01 1.153025e-02 1.329467e-04 5.309746e+03 1.028315e+02
1.900000e+01 1.120409e-02 1.255316e-04 5.277485e+03 1.002996e+02
2.000000e+01 1.089657e-02 1.187353e-04 5.245119e+03 9.705767e+01
2.100000e+01 1.060409e-02 1.124466e-04 5.212339e+03 9.280475e+01
2.200000e+01 1.032337e-02 1.065720e-04 5.179283e+03 8.841719e+01
2.300000e+01 1.005236e-02 1.010499e-04 5.146185e+03 8.425207e+01
2.400000e+01 9.790380e-03 9.585154e-05 5.113048e+03 8.039452e+01
2.500000e+01 9.538853e-03 9.098971e-05 5.079836e+03 7.683602e+01
2.600000e+01 9.300378e-03 8.649703e-05 5.046613e+03 7.354775e+01
2.700000e+01 9.076579e-03 8.238428e-05 5.013476e+03 7.050076e+01
2.800000e+01 8.868276e-03 7.864632e-05 4.980423e+03 6.766952e+01
2.900000e+01 8.675256e-03 7.526006e-05 4.947486e+03 6.503197e+01
3.000000e+01 8.496078e-03 7.218335e-05 4.914621e+03 6.256906e+01
3.100000e+01 8.328161e-03 6.935827e-05 4.881478e+03 6.026447e+01
3.200000e+01 8.170106e-03 6.675064e-05 4.847709e+03 5.810371e+01
3.300000e+01 8.021103e-03 6.433809e-05 4.813372e+03 5.607240e+01
3.400000e+01 7.880632e-03 6.210435e-05 4.778431e+03 5.415883e+01
3.500000e+01 7.747935e-03 6.003050e-05 4.742591e+03 5.235351e+01
3.600000e+01 7.622044e-03 5.809556e-05 4.705546e+03 5.064771e+01
3.700000e+01 7.502267e-03 5.628401e-05 4.667509e+03 4.903348e+01
3.800000e+01 7.387472e-03 5.457474e-05 4.628771e+03 4.750368e+01
3.900000e+01 7.277563e-03 5.296293e-05 4.589424e+03 4.605183e+01
4.000000e+01 7.173667e-03 5.146150e-05 4.549642e+03 4.467214e+01
4.100000e+01 7.076130e-03 5.007162e-05 4.509599e+03 4.335935e+01
4.200000e+01 6.983252e-03 4.876581e-05 4.469426e+03 4.210871e+01
4.300000e+01 6.894099e-03 4.752860e-05 4.429335e+03 4.091591e+01
4.400000e+01 6.807440e-03 4.634124e-05 4.389435e+03 3.977703e+01
4.500000e+01 6.723083e-03 4.519984e-05 4.349935e+03 3.868849e+01
4.600000e+01 6.640672e-03 4.409852e-05 4.310945e+03 3.764703e+01
4.700000e+01 6.559505e-03 4.302710e-05 4.272531e+03 3.664967e+01
4.800000e+01 6.479007e-03 4.197753e-05 4.234763e+03 3.569365e+01
4.900000e+01 6.398626e-03 4.094242e-05 4.197619e+03 3.477649e+01
5.000000e+01 6.318482e-03 3.992321e-05 4.161240e+03 3.505989e+01
5.100000e+01 6.238287e-03 3.891622e-05 4.125699e+03 3.580395e+01
5.200000e+01 6.158829e-03 3.793118e-05 4.090834e+03 3.589087e+01
5.300000e+01 6.081320e-03 3.698246e-05 4.056389e+03 3.546124e+01
5.400000e+01 6.005948e-03 3.607141e-05 4.022371e+03 3.482746e+01
5.500000e+01 5.932661e-03 3.519647e-05 3.988807e+03 3.417056e+01
5.600000e+01 5.860809e-03 3.434908e-05 3.955642e+03 3.346511e+01
5.700000e+01 5.789785e-03 3.352161e-05 3.922869e+03 3.280613e+01
5.800000e+01 5.719498e-03 3.271266e-05 3.890499e+03 3.216909e+01
5.900000e+01 5.650819e-03 3.193175e-05 3.858435e+03 3.155344e+01
6.000000e+01 5.583700e-03 3.117770e-05 3.826686e+03 3.095820e+01
6.100000e+01 5.518324e-03 3.045190e-05 3.795306e+03 3.038238e+01
6.200000e+01 5.455311e-03 2.976042e-05 3.764352e+03 2.982502e+01
6.300000e+01 5.395325e-03 2.910954e-05 3.733963e+03 3.041643e+01
6.400000e+01 5.339104e-03 2.850603e-05 3.704183e+03 3.051859e+01
6.500000e+01 5.286929e-03 2.795162e-05 3.674959e+03 3.028063e+01
6.600000e+01 5.239032e-03 2.744746e-05 3.646220e+03 2.985835e+01
6.700000e+01 5.195210e-03 2.699020e-05 3.617928e+03 3.004001e+01
6.800000e+01 5.154276e-03 2.656656e-05 3.590121e+03 3.214922e+01
6.900000e+01 5.114273e-03 2.615578e-05 3.562763e+03 3.348724e+01
7.000000e+01 5.073559e-03 2.574100e-05 3.535743e+03 3.396150e+01
7.100000e+01 5.031630e-03 2.531730e-05 3.508961e+03 3.410409e+01
7.200000e+01 4.988738e-03 2.488751e-05 3.482311e+03 3.405715e+01
7.300000e+01 4.945095e-03 2.445396e-05 3.455745e+03 3.365112e+01
7.400000e+01 4.900531e-03 2.401520e-05 3.429204e+03 3.311205e+01
7.500000e+01 4.855329e-03 2.357422e-05 3.402607e+03 3.254375e+01
